"","Cell","Batch","Patient","Channel","Group","ExpLibSize"
"Cell681","Cell681","Batch5","Patient57","Channel5","Severe_COVID",42931.1251638502
"Cell682","Cell682","Batch5","Patient69","Channel5","HcwMild_COVID",48819.5716302322
"Cell683","Cell683","Batch5","Patient66","Channel5","Flu",60878.2576342495
"Cell684","Cell684","Batch5","Patient59","Channel5","HospMild_COVID",51211.8936868629
"Cell685","Cell685","Batch5","Patient60","Channel5","HospMild_COVID",42988.4826341276
"Cell686","Cell686","Batch5","Patient70","Channel5","HcwMild_COVID",100233.436265988
"Cell687","Cell687","Batch5","Patient57","Channel5","HcwMild_COVID",67414.2446688893
"Cell688","Cell688","Batch5","Patient59","Channel5","Flu",56207.1327142179
"Cell689","Cell689","Batch5","Patient57","Channel5","HospMild_COVID",64250.7451842981
"Cell690","Cell690","Batch5","Patient67","Channel5","Healthy",74395.2659833064
"Cell691","Cell691","Batch5","Patient64","Channel5","HospMild_COVID",69885.0113048164
"Cell692","Cell692","Batch5","Patient65","Channel5","Severe_COVID",50017.0612196334
"Cell693","Cell693","Batch5","Patient61","Channel5","Flu",46889.5383601401
"Cell694","Cell694","Batch5","Patient70","Channel5","HcwMild_COVID",65829.1169468002
"Cell695","Cell695","Batch5","Patient59","Channel5","Flu",70889.0428960853
"Cell696","Cell696","Batch5","Patient59","Channel5","HcwMild_COVID",56778.7661033111
"Cell697","Cell697","Batch5","Patient70","Channel5","HospMild_COVID",35565.4283266557
"Cell698","Cell698","Batch5","Patient67","Channel5","Severe_COVID",91031.7866113912
"Cell699","Cell699","Batch5","Patient62","Channel5","Healthy",54311.954601846
"Cell700","Cell700","Batch5","Patient68","Channel5","HospMild_COVID",73939.9953813116
"Cell701","Cell701","Batch6","Patient75","Channel6","Flu",58181.5363373073
"Cell702","Cell702","Batch6","Patient72","Channel6","HcwMild_COVID",56298.7044542303
"Cell703","Cell703","Batch6","Patient73","Channel6","HcwMild_COVID",72868.929671596
"Cell704","Cell704","Batch6","Patient83","Channel6","Healthy",62095.570725577
"Cell705","Cell705","Batch6","Patient74","Channel6","Healthy",48181.902793934
"Cell706","Cell706","Batch6","Patient82","Channel6","HospMild_COVID",35562.8114124851
"Cell707","Cell707","Batch6","Patient74","Channel6","Flu",59627.0905117071
"Cell708","Cell708","Batch6","Patient83","Channel6","Flu",58609.9471152962
"Cell709","Cell709","Batch6","Patient75","Channel6","Severe_COVID",49783.3543329926
"Cell710","Cell710","Batch6","Patient72","Channel6","Severe_COVID",55694.1510282036
"Cell711","Cell711","Batch6","Patient71","Channel6","Healthy",36214.8598917554
"Cell712","Cell712","Batch6","Patient84","Channel6","Healthy",59620.364092748
"Cell713","Cell713","Batch6","Patient76","Channel6","Healthy",81238.1617332163
"Cell714","Cell714","Batch6","Patient71","Channel6","HospMild_COVID",65961.7714844233
"Cell715","Cell715","Batch6","Patient76","Channel6","Flu",45041.9188275187
"Cell716","Cell716","Batch6","Patient83","Channel6","HospMild_COVID",46052.9688125129
"Cell717","Cell717","Batch6","Patient83","Channel6","Severe_COVID",77504.2459078114
"Cell718","Cell718","Batch6","Patient81","Channel6","HospMild_COVID",78240.8012898393
"Cell719","Cell719","Batch6","Patient73","Channel6","Flu",71596.7959137364
"Cell720","Cell720","Batch6","Patient74","Channel6","HospMild_COVID",58572.7365443161
"Cell721","Cell721","Batch6","Patient71","Channel6","Healthy",71757.7902182432
"Cell722","Cell722","Batch6","Patient76","Channel6","HospMild_COVID",50053.4832571404
"Cell723","Cell723","Batch6","Patient73","Channel6","Healthy",45715.6746312785
"Cell724","Cell724","Batch6","Patient77","Channel6","HcwMild_COVID",51296.6265818363
"Cell725","Cell725","Batch6","Patient78","Channel6","Severe_COVID",59520.7996181169
"Cell726","Cell726","Batch6","Patient83","Channel6","HospMild_COVID",63204.4374242369
"Cell727","Cell727","Batch6","Patient75","Channel6","Healthy",61419.3334755083
"Cell728","Cell728","Batch6","Patient82","Channel6","HospMild_COVID",74568.6615498604
"Cell729","Cell729","Batch6","Patient71","Channel6","Severe_COVID",66269.1194732064
"Cell730","Cell730","Batch6","Patient78","Channel6","HospMild_COVID",100556.105045517
"Cell731","Cell731","Batch6","Patient71","Channel6","HcwMild_COVID",44901.9298759964
"Cell732","Cell732","Batch6","Patient75","Channel6","Healthy",64102.3377701947
"Cell733","Cell733","Batch6","Patient82","Channel6","HospMild_COVID",41715.7786984494
"Cell734","Cell734","Batch6","Patient81","Channel6","Flu",49413.1012879646
"Cell735","Cell735","Batch6","Patient71","Channel6","Flu",43400.2240013703
"Cell736","Cell736","Batch6","Patient83","Channel6","HcwMild_COVID",46725.316221146
"Cell737","Cell737","Batch6","Patient75","Channel6","HcwMild_COVID",40792.5700180267
"Cell738","Cell738","Batch6","Patient84","Channel6","Healthy",42097.9587038032
"Cell739","Cell739","Batch6","Patient73","Channel6","Healthy",71593.6795492611
"Cell740","Cell740","Batch6","Patient83","Channel6","HospMild_COVID",57965.707307501
"Cell741","Cell741","Batch6","Patient82","Channel6","Severe_COVID",98507.9124628662
"Cell742","Cell742","Batch6","Patient82","Channel6","Healthy",51562.5581095603
"Cell743","Cell743","Batch6","Patient72","Channel6","Flu",46512.1135284125
"Cell744","Cell744","Batch6","Patient71","Channel6","Healthy",77384.6923624261
"Cell745","Cell745","Batch6","Patient81","Channel6","Severe_COVID",41151.287985519
"Cell746","Cell746","Batch6","Patient79","Channel6","HcwMild_COVID",32395.0855791837
"Cell747","Cell747","Batch6","Patient77","Channel6","HospMild_COVID",70861.9532653411
"Cell748","Cell748","Batch6","Patient79","Channel6","Severe_COVID",43462.7697561437
"Cell749","Cell749","Batch6","Patient77","Channel6","Healthy",79645.7335820661
"Cell750","Cell750","Batch6","Patient75","Channel6","Severe_COVID",70240.6340089556
"Cell751","Cell751","Batch6","Patient72","Channel6","HcwMild_COVID",37521.9466686818
"Cell752","Cell752","Batch6","Patient76","Channel6","Severe_COVID",73698.5690799909
"Cell753","Cell753","Batch6","Patient72","Channel6","Severe_COVID",49171.9124124129
"Cell754","Cell754","Batch6","Patient75","Channel6","Healthy",78692.5276439305
"Cell755","Cell755","Batch6","Patient83","Channel6","Severe_COVID",101248.189417509
"Cell756","Cell756","Batch6","Patient82","Channel6","HcwMild_COVID",61885.2568634771
"Cell757","Cell757","Batch6","Patient79","Channel6","Flu",54867.8607767471
"Cell758","Cell758","Batch6","Patient71","Channel6","Flu",39890.7255728552
"Cell759","Cell759","Batch6","Patient74","Channel6","Flu",63055.5721694578
"Cell760","Cell760","Batch6","Patient73","Channel6","HcwMild_COVID",41842.5010931118
"Cell761","Cell761","Batch6","Patient82","Channel6","HcwMild_COVID",54531.7876946541
"Cell762","Cell762","Batch6","Patient84","Channel6","Severe_COVID",62553.8805608534
"Cell763","Cell763","Batch6","Patient75","Channel6","Severe_COVID",53433.0653718938
"Cell764","Cell764","Batch6","Patient82","Channel6","HospMild_COVID",59242.3340567048
"Cell765","Cell765","Batch6","Patient76","Channel6","HcwMild_COVID",53042.2189260027
"Cell766","Cell766","Batch6","Patient75","Channel6","Flu",44305.7978023039
"Cell767","Cell767","Batch6","Patient83","Channel6","HospMild_COVID",50248.3418377398
"Cell768","Cell768","Batch6","Patient82","Channel6","Healthy",36051.8181213905
"Cell769","Cell769","Batch6","Patient84","Channel6","Healthy",123934.326417982
"Cell770","Cell770","Batch6","Patient80","Channel6","Severe_COVID",51406.4288078898
"Cell771","Cell771","Batch6","Patient77","Channel6","HcwMild_COVID",51776.131656581
"Cell772","Cell772","Batch6","Patient83","Channel6","Healthy",48813.7904514968
"Cell773","Cell773","Batch6","Patient83","Channel6","Flu",60854.5700472375
"Cell774","Cell774","Batch6","Patient73","Channel6","Severe_COVID",59307.9625648981
"Cell775","Cell775","Batch6","Patient74","Channel6","Severe_COVID",56218.2969777833
"Cell776","Cell776","Batch6","Patient71","Channel6","HospMild_COVID",49558.6360967537
"Cell777","Cell777","Batch6","Patient73","Channel6","Healthy",70255.0749327752
"Cell778","Cell778","Batch6","Patient81","Channel6","Flu",25572.8003345936
"Cell779","Cell779","Batch6","Patient74","Channel6","Severe_COVID",51900.7150455041
"Cell780","Cell780","Batch6","Patient72","Channel6","Healthy",47358.9489826846
"Cell781","Cell781","Batch6","Patient71","Channel6","HospMild_COVID",29264.2587575479
"Cell782","Cell782","Batch6","Patient74","Channel6","Severe_COVID",68671.4786946921
"Cell783","Cell783","Batch6","Patient84","Channel6","Severe_COVID",58011.0770186157
"Cell784","Cell784","Batch6","Patient78","Channel6","Severe_COVID",49017.8653089042
"Cell785","Cell785","Batch6","Patient75","Channel6","Flu",36283.8682937752
"Cell786","Cell786","Batch6","Patient78","Channel6","HcwMild_COVID",89876.332112465
"Cell787","Cell787","Batch6","Patient72","Channel6","Severe_COVID",41432.6866218553
"Cell788","Cell788","Batch6","Patient75","Channel6","HospMild_COVID",50595.801762954
"Cell789","Cell789","Batch6","Patient84","Channel6","HcwMild_COVID",33065.7961840242
"Cell790","Cell790","Batch6","Patient78","Channel6","HcwMild_COVID",82701.6138919688
"Cell791","Cell791","Batch6","Patient77","Channel6","Severe_COVID",55369.4517252832
"Cell792","Cell792","Batch6","Patient72","Channel6","HcwMild_COVID",61158.8718001323
"Cell793","Cell793","Batch6","Patient74","Channel6","HospMild_COVID",80216.9707765149
"Cell794","Cell794","Batch6","Patient82","Channel6","HospMild_COVID",70475.7438262965
"Cell795","Cell795","Batch6","Patient73","Channel6","HcwMild_COVID",61212.6690708708
"Cell796","Cell796","Batch6","Patient84","Channel6","Healthy",57331.1100296992
"Cell797","Cell797","Batch6","Patient81","Channel6","Severe_COVID",80161.3888884334
"Cell798","Cell798","Batch6","Patient79","Channel6","Healthy",39976.9768183785
"Cell799","Cell799","Batch6","Patient72","Channel6","Healthy",62215.3602337392
"Cell800","Cell800","Batch6","Patient76","Channel6","Healthy",67462.6766429541
"Cell801","Cell801","Batch6","Patient83","Channel6","Healthy",76392.0186878974
"Cell802","Cell802","Batch6","Patient79","Channel6","Severe_COVID",45799.2443542654
"Cell803","Cell803","Batch6","Patient83","Channel6","HcwMild_COVID",41928.6700822263
"Cell804","Cell804","Batch6","Patient82","Channel6","Healthy",61304.0208751305
"Cell805","Cell805","Batch6","Patient75","Channel6","HcwMild_COVID",99658.7872654355
"Cell806","Cell806","Batch6","Patient74","Channel6","HospMild_COVID",40356.9613225758
"Cell807","Cell807","Batch6","Patient81","Channel6","Severe_COVID",51432.0436087727
"Cell808","Cell808","Batch6","Patient82","Channel6","HospMild_COVID",61708.8526037275
"Cell809","Cell809","Batch6","Patient81","Channel6","Flu",94164.3317994723
"Cell810","Cell810","Batch6","Patient72","Channel6","HcwMild_COVID",48014.9483813683
"Cell811","Cell811","Batch6","Patient74","Channel6","Flu",62346.7270500445
"Cell812","Cell812","Batch6","Patient72","Channel6","HcwMild_COVID",32059.6809243588
"Cell813","Cell813","Batch6","Patient80","Channel6","HospMild_COVID",72349.1976083789
"Cell814","Cell814","Batch6","Patient81","Channel6","Flu",94514.7122326889
"Cell815","Cell815","Batch6","Patient74","Channel6","Severe_COVID",54422.1708378307
"Cell816","Cell816","Batch6","Patient80","Channel6","Healthy",81664.8446088701
"Cell817","Cell817","Batch6","Patient75","Channel6","HcwMild_COVID",39359.3001225516
"Cell818","Cell818","Batch6","Patient75","Channel6","HcwMild_COVID",77054.8938041626
"Cell819","Cell819","Batch6","Patient79","Channel6","Healthy",88589.2892214899
"Cell820","Cell820","Batch6","Patient78","Channel6","HospMild_COVID",87867.1104260277
"Cell821","Cell821","Batch6","Patient77","Channel6","HospMild_COVID",29947.9487979806
"Cell822","Cell822","Batch6","Patient74","Channel6","Severe_COVID",83785.5785644224
"Cell823","Cell823","Batch6","Patient77","Channel6","HcwMild_COVID",94215.5914362497
"Cell824","Cell824","Batch6","Patient72","Channel6","Flu",45813.8831295737
"Cell825","Cell825","Batch6","Patient73","Channel6","Severe_COVID",143635.610982012
"Cell826","Cell826","Batch6","Patient72","Channel6","HospMild_COVID",62906.9110137556
"Cell827","Cell827","Batch6","Patient83","Channel6","HospMild_COVID",62031.1014097036
"Cell828","Cell828","Batch6","Patient75","Channel6","Flu",48881.0061495038
"Cell829","Cell829","Batch6","Patient77","Channel6","Severe_COVID",88907.1672519177
"Cell830","Cell830","Batch6","Patient80","Channel6","Severe_COVID",65234.3884215077
"Cell831","Cell831","Batch6","Patient79","Channel6","Flu",70532.3858594337
"Cell832","Cell832","Batch6","Patient81","Channel6","Severe_COVID",59872.2953126631
"Cell833","Cell833","Batch6","Patient73","Channel6","HospMild_COVID",63252.9677915619
"Cell834","Cell834","Batch6","Patient82","Channel6","Severe_COVID",56499.2072633217
"Cell835","Cell835","Batch6","Patient84","Channel6","Severe_COVID",58286.5223099598
"Cell836","Cell836","Batch6","Patient74","Channel6","HcwMild_COVID",57129.2721334719
"Cell837","Cell837","Batch6","Patient74","Channel6","HcwMild_COVID",62771.6597860823
"Cell838","Cell838","Batch6","Patient72","Channel6","HospMild_COVID",45693.9682496707
"Cell839","Cell839","Batch6","Patient83","Channel6","HospMild_COVID",83237.6252587793
"Cell840","Cell840","Batch6","Patient82","Channel6","Healthy",52781.9427597242
"Cell841","Cell841","Batch7","Patient86","Channel7","Severe_COVID",80712.4115898322
"Cell842","Cell842","Batch7","Patient88","Channel7","HcwMild_COVID",53305.0152733664
"Cell843","Cell843","Batch7","Patient87","Channel7","Severe_COVID",84913.263807625
"Cell844","Cell844","Batch7","Patient87","Channel7","HospMild_COVID",86764.6386292914
"Cell845","Cell845","Batch7","Patient87","Channel7","HcwMild_COVID",62851.6883877208
"Cell846","Cell846","Batch7","Patient91","Channel7","HospMild_COVID",47102.2894475331
"Cell847","Cell847","Batch7","Patient94","Channel7","Flu",89339.011640825
"Cell848","Cell848","Batch7","Patient89","Channel7","Healthy",67231.9159866885
"Cell849","Cell849","Batch7","Patient95","Channel7","Healthy",78414.8410153458
"Cell850","Cell850","Batch7","Patient90","Channel7","Severe_COVID",42478.9170861565
"Cell851","Cell851","Batch7","Patient85","Channel7","Flu",93012.9428893291
"Cell852","Cell852","Batch7","Patient91","Channel7","HcwMild_COVID",32516.2253394086
"Cell853","Cell853","Batch7","Patient87","Channel7","Severe_COVID",40525.9962741926
"Cell854","Cell854","Batch7","Patient94","Channel7","HcwMild_COVID",48546.5182812307
"Cell855","Cell855","Batch7","Patient92","Channel7","Healthy",84519.0513991456
"Cell856","Cell856","Batch7","Patient94","Channel7","Flu",79951.8193221149
"Cell857","Cell857","Batch7","Patient97","Channel7","HospMild_COVID",51439.4180515036
"Cell858","Cell858","Batch7","Patient87","Channel7","HospMild_COVID",89304.3589761731
"Cell859","Cell859","Batch7","Patient94","Channel7","HospMild_COVID",37277.7749108635
"Cell860","Cell860","Batch7","Patient88","Channel7","Healthy",63869.2963022298
"Cell861","Cell861","Batch7","Patient88","Channel7","Flu",41704.0883329522
"Cell862","Cell862","Batch7","Patient89","Channel7","HcwMild_COVID",57662.7194327363
"Cell863","Cell863","Batch7","Patient96","Channel7","Healthy",70914.4733072021
"Cell864","Cell864","Batch7","Patient88","Channel7","Severe_COVID",52249.3688952042
"Cell865","Cell865","Batch7","Patient90","Channel7","Flu",61457.2453822853
"Cell866","Cell866","Batch7","Patient93","Channel7","Healthy",52204.3774350384
"Cell867","Cell867","Batch7","Patient89","Channel7","Healthy",61251.9900279386
"Cell868","Cell868","Batch7","Patient98","Channel7","Healthy",39797.4302839533
"Cell869","Cell869","Batch7","Patient96","Channel7","HcwMild_COVID",49632.3263991631
"Cell870","Cell870","Batch7","Patient85","Channel7","Flu",76550.1295179165
"Cell871","Cell871","Batch7","Patient93","Channel7","Severe_COVID",52561.7499132827
"Cell872","Cell872","Batch7","Patient90","Channel7","HospMild_COVID",60766.7153053642
"Cell873","Cell873","Batch7","Patient92","Channel7","HospMild_COVID",63944.6872624093
"Cell874","Cell874","Batch7","Patient94","Channel7","Severe_COVID",58443.3725420879
"Cell875","Cell875","Batch7","Patient91","Channel7","HcwMild_COVID",47879.9312568018
"Cell876","Cell876","Batch7","Patient96","Channel7","Flu",89719.273122144
"Cell877","Cell877","Batch7","Patient97","Channel7","HospMild_COVID",116956.021780693
"Cell878","Cell878","Batch7","Patient89","Channel7","Flu",42704.1278055402
"Cell879","Cell879","Batch7","Patient89","Channel7","Flu",35107.1136686288
"Cell880","Cell880","Batch7","Patient93","Channel7","Flu",56891.6542636217
"Cell881","Cell881","Batch7","Patient98","Channel7","Healthy",53660.0528551306
"Cell882","Cell882","Batch7","Patient88","Channel7","HospMild_COVID",63085.7281082086
"Cell883","Cell883","Batch7","Patient88","Channel7","HospMild_COVID",40118.7111420387
"Cell884","Cell884","Batch7","Patient93","Channel7","HospMild_COVID",34913.001995245
"Cell885","Cell885","Batch7","Patient92","Channel7","Healthy",44363.0692702071
"Cell886","Cell886","Batch7","Patient98","Channel7","HospMild_COVID",65084.2512400573
"Cell887","Cell887","Batch7","Patient87","Channel7","HcwMild_COVID",106401.319909162
"Cell888","Cell888","Batch7","Patient93","Channel7","HospMild_COVID",53160.9419243941
"Cell889","Cell889","Batch7","Patient97","Channel7","Flu",81411.5695068682
"Cell890","Cell890","Batch7","Patient91","Channel7","HospMild_COVID",82664.1063638545
"Cell891","Cell891","Batch7","Patient97","Channel7","HospMild_COVID",36413.7919935587
"Cell892","Cell892","Batch7","Patient86","Channel7","Healthy",81526.0678526639
"Cell893","Cell893","Batch7","Patient91","Channel7","Severe_COVID",93269.5582147492
"Cell894","Cell894","Batch7","Patient92","Channel7","HospMild_COVID",62399.1954657813
"Cell895","Cell895","Batch7","Patient87","Channel7","Severe_COVID",49615.6841028292
"Cell896","Cell896","Batch7","Patient96","Channel7","HospMild_COVID",65269.7101917074
"Cell897","Cell897","Batch7","Patient88","Channel7","HcwMild_COVID",73997.757935564
"Cell898","Cell898","Batch7","Patient95","Channel7","Severe_COVID",62081.5530689309
"Cell899","Cell899","Batch7","Patient93","Channel7","HcwMild_COVID",49018.3019040155
"Cell900","Cell900","Batch7","Patient91","Channel7","HcwMild_COVID",62423.9418814098
"Cell901","Cell901","Batch7","Patient96","Channel7","HospMild_COVID",63420.399387442
"Cell902","Cell902","Batch7","Patient89","Channel7","Severe_COVID",35574.6362962439
"Cell903","Cell903","Batch7","Patient86","Channel7","Healthy",48780.1927690719
"Cell904","Cell904","Batch7","Patient87","Channel7","HcwMild_COVID",85944.3330663251
"Cell905","Cell905","Batch7","Patient89","Channel7","Severe_COVID",55859.9535693847
"Cell906","Cell906","Batch7","Patient92","Channel7","Flu",42056.6242478272
"Cell907","Cell907","Batch7","Patient87","Channel7","HospMild_COVID",73010.2923181564
"Cell908","Cell908","Batch7","Patient89","Channel7","Severe_COVID",48384.3976045624
"Cell909","Cell909","Batch7","Patient96","Channel7","HcwMild_COVID",64121.4330290748
"Cell910","Cell910","Batch7","Patient97","Channel7","HospMild_COVID",46600.2517192196
"Cell911","Cell911","Batch7","Patient87","Channel7","Flu",135670.007667995
"Cell912","Cell912","Batch7","Patient86","Channel7","HospMild_COVID",68003.2990458065
"Cell913","Cell913","Batch7","Patient92","Channel7","HospMild_COVID",80092.9721221577
"Cell914","Cell914","Batch7","Patient92","Channel7","Flu",73577.9104242015
"Cell915","Cell915","Batch7","Patient85","Channel7","HospMild_COVID",51569.175430801
"Cell916","Cell916","Batch7","Patient93","Channel7","HcwMild_COVID",56129.1733055058
"Cell917","Cell917","Batch7","Patient98","Channel7","HospMild_COVID",50643.5509770921
"Cell918","Cell918","Batch7","Patient91","Channel7","HospMild_COVID",50889.540799812
"Cell919","Cell919","Batch7","Patient98","Channel7","Severe_COVID",59915.8626997091
"Cell920","Cell920","Batch7","Patient98","Channel7","Severe_COVID",82267.3564602765
"Cell921","Cell921","Batch7","Patient93","Channel7","HospMild_COVID",65758.8975275332
"Cell922","Cell922","Batch7","Patient85","Channel7","Flu",89638.735600879
"Cell923","Cell923","Batch7","Patient86","Channel7","HospMild_COVID",68679.3331537264
"Cell924","Cell924","Batch7","Patient98","Channel7","Flu",76165.8502170569
"Cell925","Cell925","Batch7","Patient96","Channel7","HospMild_COVID",55323.9002703791
"Cell926","Cell926","Batch7","Patient91","Channel7","Flu",46642.4681991432
"Cell927","Cell927","Batch7","Patient98","Channel7","Healthy",110723.157469662
"Cell928","Cell928","Batch7","Patient97","Channel7","HcwMild_COVID",60580.4526664832
"Cell929","Cell929","Batch7","Patient96","Channel7","Healthy",50956.7430809475
"Cell930","Cell930","Batch7","Patient96","Channel7","Flu",86658.0750162497
"Cell931","Cell931","Batch7","Patient89","Channel7","Flu",52992.3710998042
"Cell932","Cell932","Batch7","Patient86","Channel7","HospMild_COVID",67874.4665036965
"Cell933","Cell933","Batch7","Patient95","Channel7","Healthy",47156.1798918494
"Cell934","Cell934","Batch7","Patient94","Channel7","HcwMild_COVID",67345.53128519
"Cell935","Cell935","Batch7","Patient97","Channel7","HospMild_COVID",83713.8576672357
"Cell936","Cell936","Batch7","Patient88","Channel7","Severe_COVID",77825.2539039983
"Cell937","Cell937","Batch7","Patient91","Channel7","Healthy",62569.6277876429
"Cell938","Cell938","Batch7","Patient92","Channel7","HospMild_COVID",79463.6353033759
"Cell939","Cell939","Batch7","Patient98","Channel7","Healthy",55573.1008886826
"Cell940","Cell940","Batch7","Patient93","Channel7","Flu",49759.0600527512
"Cell941","Cell941","Batch7","Patient87","Channel7","HospMild_COVID",61929.6873745288
"Cell942","Cell942","Batch7","Patient92","Channel7","Flu",49830.6120548559
"Cell943","Cell943","Batch7","Patient91","Channel7","Flu",46507.2659841174
"Cell944","Cell944","Batch7","Patient90","Channel7","Healthy",68746.1496795482
"Cell945","Cell945","Batch7","Patient98","Channel7","Healthy",62631.1486896001
"Cell946","Cell946","Batch7","Patient92","Channel7","Severe_COVID",44702.4004532701
"Cell947","Cell947","Batch7","Patient91","Channel7","Flu",74984.6074912686
"Cell948","Cell948","Batch7","Patient87","Channel7","Healthy",38706.3637862722
"Cell949","Cell949","Batch7","Patient89","Channel7","Healthy",50147.4051677508
"Cell950","Cell950","Batch7","Patient96","Channel7","Severe_COVID",59685.9908660649
"Cell951","Cell951","Batch7","Patient98","Channel7","Severe_COVID",85006.7780461501
"Cell952","Cell952","Batch7","Patient89","Channel7","HcwMild_COVID",49930.4075156726
"Cell953","Cell953","Batch7","Patient98","Channel7","Healthy",60683.5057303456
"Cell954","Cell954","Batch7","Patient88","Channel7","HcwMild_COVID",104192.170383105
"Cell955","Cell955","Batch7","Patient90","Channel7","HospMild_COVID",78793.3950908391
"Cell956","Cell956","Batch7","Patient96","Channel7","Flu",63963.2650415507
"Cell957","Cell957","Batch7","Patient95","Channel7","Flu",47235.7113538666
"Cell958","Cell958","Batch7","Patient97","Channel7","Flu",67533.4154008073
"Cell959","Cell959","Batch7","Patient96","Channel7","Severe_COVID",32589.7406816163
"Cell960","Cell960","Batch7","Patient96","Channel7","HospMild_COVID",103774.636830284
"Cell961","Cell961","Batch7","Patient96","Channel7","Flu",120979.407341722
"Cell962","Cell962","Batch7","Patient87","Channel7","Flu",61047.3409489129
"Cell963","Cell963","Batch7","Patient97","Channel7","Severe_COVID",91113.4323661689
"Cell964","Cell964","Batch7","Patient93","Channel7","HcwMild_COVID",81571.6239211508
"Cell965","Cell965","Batch7","Patient90","Channel7","Severe_COVID",74780.3363966357
"Cell966","Cell966","Batch7","Patient91","Channel7","Severe_COVID",85195.178997329
"Cell967","Cell967","Batch7","Patient92","Channel7","HcwMild_COVID",101118.001618633
"Cell968","Cell968","Batch7","Patient92","Channel7","HospMild_COVID",48667.9479885859
"Cell969","Cell969","Batch7","Patient98","Channel7","HospMild_COVID",55564.274295589
"Cell970","Cell970","Batch7","Patient96","Channel7","HospMild_COVID",50533.1542091369
"Cell971","Cell971","Batch7","Patient87","Channel7","Healthy",60357.4339207321
"Cell972","Cell972","Batch7","Patient96","Channel7","Flu",55665.630371921
"Cell973","Cell973","Batch7","Patient94","Channel7","Healthy",44351.399351756
"Cell974","Cell974","Batch7","Patient87","Channel7","Healthy",44676.5454626281
"Cell975","Cell975","Batch7","Patient96","Channel7","Healthy",73051.343959723
"Cell976","Cell976","Batch7","Patient98","Channel7","HospMild_COVID",76635.6476610569
"Cell977","Cell977","Batch7","Patient96","Channel7","Severe_COVID",60654.7928171029
"Cell978","Cell978","Batch7","Patient86","Channel7","Healthy",52265.6838511666
"Cell979","Cell979","Batch7","Patient98","Channel7","HcwMild_COVID",46412.8044334423
"Cell980","Cell980","Batch7","Patient90","Channel7","Flu",43388.6637337274
"Cell981","Cell981","Batch8","Patient108","Channel8","HospMild_COVID",58307.4001179413
"Cell982","Cell982","Batch8","Patient112","Channel8","HospMild_COVID",56806.1056788847
"Cell983","Cell983","Batch8","Patient105","Channel8","Flu",73435.6258674378
"Cell984","Cell984","Batch8","Patient104","Channel8","Severe_COVID",30088.6087537178
"Cell985","Cell985","Batch8","Patient109","Channel8","HospMild_COVID",55587.7399538009
"Cell986","Cell986","Batch8","Patient102","Channel8","Severe_COVID",77474.377203139
"Cell987","Cell987","Batch8","Patient106","Channel8","Flu",36751.3585484681
"Cell988","Cell988","Batch8","Patient109","Channel8","HospMild_COVID",86681.8300646973
"Cell989","Cell989","Batch8","Patient99","Channel8","HcwMild_COVID",86093.3515038386
"Cell990","Cell990","Batch8","Patient107","Channel8","Healthy",84126.9632742071
"Cell991","Cell991","Batch8","Patient110","Channel8","Healthy",39542.4370629392
"Cell992","Cell992","Batch8","Patient100","Channel8","HcwMild_COVID",54827.841739917
"Cell993","Cell993","Batch8","Patient103","Channel8","Severe_COVID",54573.3631446611
"Cell994","Cell994","Batch8","Patient102","Channel8","Severe_COVID",55490.759052543
"Cell995","Cell995","Batch8","Patient112","Channel8","HospMild_COVID",96789.4055815841
"Cell996","Cell996","Batch8","Patient105","Channel8","Healthy",80979.2437766161
"Cell997","Cell997","Batch8","Patient109","Channel8","HospMild_COVID",55352.0398944348
"Cell998","Cell998","Batch8","Patient100","Channel8","Severe_COVID",69081.9088402423
"Cell999","Cell999","Batch8","Patient112","Channel8","Healthy",36320.8901836839
"Cell1000","Cell1000","Batch8","Patient103","Channel8","Flu",32315.5332129897
"Cell1001","Cell1001","Batch8","Patient110","Channel8","Severe_COVID",75322.9231246964
"Cell1002","Cell1002","Batch8","Patient106","Channel8","Flu",93172.8488182824
"Cell1003","Cell1003","Batch8","Patient108","Channel8","Healthy",52941.8551013306
"Cell1004","Cell1004","Batch8","Patient102","Channel8","Flu",27348.7672218602
"Cell1005","Cell1005","Batch8","Patient106","Channel8","Flu",61921.8863052687
"Cell1006","Cell1006","Batch8","Patient109","Channel8","Healthy",66713.3753445121
"Cell1007","Cell1007","Batch8","Patient105","Channel8","HospMild_COVID",62340.5803987211
"Cell1008","Cell1008","Batch8","Patient108","Channel8","HospMild_COVID",87493.7992643817
"Cell1009","Cell1009","Batch8","Patient105","Channel8","Severe_COVID",62712.427987486
"Cell1010","Cell1010","Batch8","Patient108","Channel8","HospMild_COVID",72318.176509317
"Cell1011","Cell1011","Batch8","Patient110","Channel8","HcwMild_COVID",65464.8984516632
"Cell1012","Cell1012","Batch8","Patient112","Channel8","Healthy",52580.4666620802
"Cell1013","Cell1013","Batch8","Patient111","Channel8","HospMild_COVID",64011.9753505938
"Cell1014","Cell1014","Batch8","Patient105","Channel8","HospMild_COVID",67616.5920932431
"Cell1015","Cell1015","Batch8","Patient101","Channel8","Healthy",54868.8497782942
"Cell1016","Cell1016","Batch8","Patient110","Channel8","HcwMild_COVID",47101.7217702134
"Cell1017","Cell1017","Batch8","Patient111","Channel8","HcwMild_COVID",38162.3199014137
"Cell1018","Cell1018","Batch8","Patient100","Channel8","Flu",77592.8547458266
