"","Cell","Batch","Patient","Channel","Group","ExpLibSize"
"Cell737","Cell737","Batch6","Patient75","Channel6","Group5",40792.5700180267
"Cell738","Cell738","Batch6","Patient84","Channel6","Group4",42097.9587038032
"Cell739","Cell739","Batch6","Patient73","Channel6","Group4",71593.6795492611
"Cell740","Cell740","Batch6","Patient83","Channel6","Group2",57965.707307501
"Cell741","Cell741","Batch6","Patient82","Channel6","Group1",98507.9124628662
"Cell742","Cell742","Batch6","Patient82","Channel6","Group4",51562.5581095603
"Cell743","Cell743","Batch6","Patient72","Channel6","Group3",46512.1135284125
"Cell744","Cell744","Batch6","Patient71","Channel6","Group4",77384.6923624261
"Cell745","Cell745","Batch6","Patient81","Channel6","Group1",41151.287985519
"Cell746","Cell746","Batch6","Patient79","Channel6","Group5",32395.0855791837
"Cell747","Cell747","Batch6","Patient77","Channel6","Group2",70861.9532653411
"Cell748","Cell748","Batch6","Patient79","Channel6","Group1",43462.7697561437
"Cell749","Cell749","Batch6","Patient77","Channel6","Group4",79645.7335820661
"Cell750","Cell750","Batch6","Patient75","Channel6","Group1",70240.6340089556
"Cell751","Cell751","Batch6","Patient72","Channel6","Group5",37521.9466686818
"Cell752","Cell752","Batch6","Patient76","Channel6","Group1",73698.5690799909
"Cell753","Cell753","Batch6","Patient72","Channel6","Group1",49171.9124124129
"Cell754","Cell754","Batch6","Patient75","Channel6","Group4",78692.5276439305
"Cell755","Cell755","Batch6","Patient83","Channel6","Group1",101248.189417509
"Cell756","Cell756","Batch6","Patient82","Channel6","Group5",61885.2568634771
"Cell757","Cell757","Batch6","Patient79","Channel6","Group3",54867.8607767471
"Cell758","Cell758","Batch6","Patient71","Channel6","Group3",39890.7255728552
"Cell759","Cell759","Batch6","Patient74","Channel6","Group3",63055.5721694578
"Cell760","Cell760","Batch6","Patient73","Channel6","Group5",41842.5010931118
"Cell761","Cell761","Batch6","Patient82","Channel6","Group5",54531.7876946541
"Cell762","Cell762","Batch6","Patient84","Channel6","Group1",62553.8805608534
"Cell763","Cell763","Batch6","Patient75","Channel6","Group1",53433.0653718938
"Cell764","Cell764","Batch6","Patient82","Channel6","Group2",59242.3340567048
"Cell765","Cell765","Batch6","Patient76","Channel6","Group5",53042.2189260027
"Cell766","Cell766","Batch6","Patient75","Channel6","Group3",44305.7978023039
"Cell767","Cell767","Batch6","Patient83","Channel6","Group2",50248.3418377398
"Cell768","Cell768","Batch6","Patient82","Channel6","Group4",36051.8181213905
"Cell769","Cell769","Batch6","Patient84","Channel6","Group4",123934.326417982
"Cell770","Cell770","Batch6","Patient80","Channel6","Group1",51406.4288078898
"Cell771","Cell771","Batch6","Patient77","Channel6","Group5",51776.131656581
"Cell772","Cell772","Batch6","Patient83","Channel6","Group4",48813.7904514968
"Cell773","Cell773","Batch6","Patient83","Channel6","Group3",60854.5700472375
"Cell774","Cell774","Batch6","Patient73","Channel6","Group1",59307.9625648981
"Cell775","Cell775","Batch6","Patient74","Channel6","Group1",56218.2969777833
"Cell776","Cell776","Batch6","Patient71","Channel6","Group2",49558.6360967537
"Cell777","Cell777","Batch6","Patient73","Channel6","Group4",70255.0749327752
"Cell778","Cell778","Batch6","Patient81","Channel6","Group3",25572.8003345936
"Cell779","Cell779","Batch6","Patient74","Channel6","Group1",51900.7150455041
"Cell780","Cell780","Batch6","Patient72","Channel6","Group4",47358.9489826846
"Cell781","Cell781","Batch6","Patient71","Channel6","Group2",29264.2587575479
"Cell782","Cell782","Batch6","Patient74","Channel6","Group1",68671.4786946921
"Cell783","Cell783","Batch6","Patient84","Channel6","Group1",58011.0770186157
"Cell784","Cell784","Batch6","Patient78","Channel6","Group1",49017.8653089042
"Cell785","Cell785","Batch6","Patient75","Channel6","Group3",36283.8682937752
"Cell786","Cell786","Batch6","Patient78","Channel6","Group5",89876.332112465
"Cell787","Cell787","Batch6","Patient72","Channel6","Group1",41432.6866218553
"Cell788","Cell788","Batch6","Patient75","Channel6","Group2",50595.801762954
"Cell789","Cell789","Batch6","Patient84","Channel6","Group5",33065.7961840242
"Cell790","Cell790","Batch6","Patient78","Channel6","Group5",82701.6138919688
"Cell791","Cell791","Batch6","Patient77","Channel6","Group1",55369.4517252832
"Cell792","Cell792","Batch6","Patient72","Channel6","Group5",61158.8718001323
"Cell793","Cell793","Batch6","Patient74","Channel6","Group2",80216.9707765149
"Cell794","Cell794","Batch6","Patient82","Channel6","Group2",70475.7438262965
"Cell795","Cell795","Batch6","Patient73","Channel6","Group5",61212.6690708708
"Cell796","Cell796","Batch6","Patient84","Channel6","Group4",57331.1100296992
"Cell797","Cell797","Batch6","Patient81","Channel6","Group1",80161.3888884334
"Cell798","Cell798","Batch6","Patient79","Channel6","Group4",39976.9768183785
"Cell799","Cell799","Batch6","Patient72","Channel6","Group4",62215.3602337392
"Cell800","Cell800","Batch6","Patient76","Channel6","Group4",67462.6766429541
"Cell801","Cell801","Batch6","Patient83","Channel6","Group4",76392.0186878974
"Cell802","Cell802","Batch6","Patient79","Channel6","Group1",45799.2443542654
"Cell803","Cell803","Batch6","Patient83","Channel6","Group5",41928.6700822263
"Cell804","Cell804","Batch6","Patient82","Channel6","Group4",61304.0208751305
"Cell805","Cell805","Batch6","Patient75","Channel6","Group5",99658.7872654355
"Cell806","Cell806","Batch6","Patient74","Channel6","Group2",40356.9613225758
"Cell807","Cell807","Batch6","Patient81","Channel6","Group1",51432.0436087727
"Cell808","Cell808","Batch6","Patient82","Channel6","Group2",61708.8526037275
"Cell809","Cell809","Batch6","Patient81","Channel6","Group3",94164.3317994723
"Cell810","Cell810","Batch6","Patient72","Channel6","Group5",48014.9483813683
"Cell811","Cell811","Batch6","Patient74","Channel6","Group3",62346.7270500445
"Cell812","Cell812","Batch6","Patient72","Channel6","Group5",32059.6809243588
"Cell813","Cell813","Batch6","Patient80","Channel6","Group2",72349.1976083789
"Cell814","Cell814","Batch6","Patient81","Channel6","Group3",94514.7122326889
"Cell815","Cell815","Batch6","Patient74","Channel6","Group1",54422.1708378307
"Cell816","Cell816","Batch6","Patient80","Channel6","Group4",81664.8446088701
"Cell817","Cell817","Batch6","Patient75","Channel6","Group5",39359.3001225516
"Cell818","Cell818","Batch6","Patient75","Channel6","Group5",77054.8938041626
"Cell819","Cell819","Batch6","Patient79","Channel6","Group4",88589.2892214899
"Cell820","Cell820","Batch6","Patient78","Channel6","Group2",87867.1104260277
"Cell821","Cell821","Batch6","Patient77","Channel6","Group2",29947.9487979806
"Cell822","Cell822","Batch6","Patient74","Channel6","Group1",83785.5785644224
"Cell823","Cell823","Batch6","Patient77","Channel6","Group5",94215.5914362497
"Cell824","Cell824","Batch6","Patient72","Channel6","Group3",45813.8831295737
"Cell825","Cell825","Batch6","Patient73","Channel6","Group1",143635.610982012
"Cell826","Cell826","Batch6","Patient72","Channel6","Group2",62906.9110137556
"Cell827","Cell827","Batch6","Patient83","Channel6","Group2",62031.1014097036
"Cell828","Cell828","Batch6","Patient75","Channel6","Group3",48881.0061495038
"Cell829","Cell829","Batch6","Patient77","Channel6","Group1",88907.1672519177
"Cell830","Cell830","Batch6","Patient80","Channel6","Group1",65234.3884215077
"Cell831","Cell831","Batch6","Patient79","Channel6","Group3",70532.3858594337
"Cell832","Cell832","Batch6","Patient81","Channel6","Group1",59872.2953126631
"Cell833","Cell833","Batch6","Patient73","Channel6","Group2",63252.9677915619
"Cell834","Cell834","Batch6","Patient82","Channel6","Group1",56499.2072633217
"Cell835","Cell835","Batch6","Patient84","Channel6","Group1",58286.5223099598
"Cell836","Cell836","Batch6","Patient74","Channel6","Group5",57129.2721334719
"Cell837","Cell837","Batch6","Patient74","Channel6","Group5",62771.6597860823
"Cell838","Cell838","Batch6","Patient72","Channel6","Group2",45693.9682496707
"Cell839","Cell839","Batch6","Patient83","Channel6","Group2",83237.6252587793
"Cell840","Cell840","Batch6","Patient82","Channel6","Group4",52781.9427597242
"Cell841","Cell841","Batch7","Patient86","Channel7","Group1",80712.4115898322
"Cell842","Cell842","Batch7","Patient88","Channel7","Group5",53305.0152733664
"Cell843","Cell843","Batch7","Patient87","Channel7","Group1",84913.263807625
"Cell844","Cell844","Batch7","Patient87","Channel7","Group2",86764.6386292914
"Cell845","Cell845","Batch7","Patient87","Channel7","Group5",62851.6883877208
"Cell846","Cell846","Batch7","Patient91","Channel7","Group2",47102.2894475331
"Cell847","Cell847","Batch7","Patient94","Channel7","Group3",89339.011640825
"Cell848","Cell848","Batch7","Patient89","Channel7","Group4",67231.9159866885
"Cell849","Cell849","Batch7","Patient95","Channel7","Group4",78414.8410153458
"Cell850","Cell850","Batch7","Patient90","Channel7","Group1",42478.9170861565
"Cell851","Cell851","Batch7","Patient85","Channel7","Group3",93012.9428893291
"Cell852","Cell852","Batch7","Patient91","Channel7","Group5",32516.2253394086
"Cell853","Cell853","Batch7","Patient87","Channel7","Group1",40525.9962741926
"Cell854","Cell854","Batch7","Patient94","Channel7","Group5",48546.5182812307
"Cell855","Cell855","Batch7","Patient92","Channel7","Group4",84519.0513991456
"Cell856","Cell856","Batch7","Patient94","Channel7","Group3",79951.8193221149
"Cell857","Cell857","Batch7","Patient97","Channel7","Group2",51439.4180515036
"Cell858","Cell858","Batch7","Patient87","Channel7","Group2",89304.3589761731
"Cell859","Cell859","Batch7","Patient94","Channel7","Group2",37277.7749108635
"Cell860","Cell860","Batch7","Patient88","Channel7","Group4",63869.2963022298
"Cell861","Cell861","Batch7","Patient88","Channel7","Group3",41704.0883329522
"Cell862","Cell862","Batch7","Patient89","Channel7","Group5",57662.7194327363
"Cell863","Cell863","Batch7","Patient96","Channel7","Group4",70914.4733072021
"Cell864","Cell864","Batch7","Patient88","Channel7","Group1",52249.3688952042
"Cell865","Cell865","Batch7","Patient90","Channel7","Group3",61457.2453822853
"Cell866","Cell866","Batch7","Patient93","Channel7","Group4",52204.3774350384
"Cell867","Cell867","Batch7","Patient89","Channel7","Group4",61251.9900279386
"Cell868","Cell868","Batch7","Patient98","Channel7","Group4",39797.4302839533
"Cell869","Cell869","Batch7","Patient96","Channel7","Group5",49632.3263991631
"Cell870","Cell870","Batch7","Patient85","Channel7","Group3",76550.1295179165
"Cell871","Cell871","Batch7","Patient93","Channel7","Group1",52561.7499132827
"Cell872","Cell872","Batch7","Patient90","Channel7","Group2",60766.7153053642
"Cell873","Cell873","Batch7","Patient92","Channel7","Group2",63944.6872624093
"Cell874","Cell874","Batch7","Patient94","Channel7","Group1",58443.3725420879
"Cell875","Cell875","Batch7","Patient91","Channel7","Group5",47879.9312568018
"Cell876","Cell876","Batch7","Patient96","Channel7","Group3",89719.273122144
"Cell877","Cell877","Batch7","Patient97","Channel7","Group2",116956.021780693
"Cell878","Cell878","Batch7","Patient89","Channel7","Group3",42704.1278055402
"Cell879","Cell879","Batch7","Patient89","Channel7","Group3",35107.1136686288
"Cell880","Cell880","Batch7","Patient93","Channel7","Group3",56891.6542636217
"Cell881","Cell881","Batch7","Patient98","Channel7","Group4",53660.0528551306
"Cell882","Cell882","Batch7","Patient88","Channel7","Group2",63085.7281082086
"Cell883","Cell883","Batch7","Patient88","Channel7","Group2",40118.7111420387
"Cell884","Cell884","Batch7","Patient93","Channel7","Group2",34913.001995245
"Cell885","Cell885","Batch7","Patient92","Channel7","Group4",44363.0692702071
"Cell886","Cell886","Batch7","Patient98","Channel7","Group2",65084.2512400573
"Cell887","Cell887","Batch7","Patient87","Channel7","Group5",106401.319909162
"Cell888","Cell888","Batch7","Patient93","Channel7","Group2",53160.9419243941
"Cell889","Cell889","Batch7","Patient97","Channel7","Group3",81411.5695068682
"Cell890","Cell890","Batch7","Patient91","Channel7","Group2",82664.1063638545
"Cell891","Cell891","Batch7","Patient97","Channel7","Group2",36413.7919935587
"Cell892","Cell892","Batch7","Patient86","Channel7","Group4",81526.0678526639
"Cell893","Cell893","Batch7","Patient91","Channel7","Group1",93269.5582147492
"Cell894","Cell894","Batch7","Patient92","Channel7","Group2",62399.1954657813
"Cell895","Cell895","Batch7","Patient87","Channel7","Group1",49615.6841028292
"Cell896","Cell896","Batch7","Patient96","Channel7","Group2",65269.7101917074
"Cell897","Cell897","Batch7","Patient88","Channel7","Group5",73997.757935564
"Cell898","Cell898","Batch7","Patient95","Channel7","Group1",62081.5530689309
"Cell899","Cell899","Batch7","Patient93","Channel7","Group5",49018.3019040155
"Cell900","Cell900","Batch7","Patient91","Channel7","Group5",62423.9418814098
"Cell901","Cell901","Batch7","Patient96","Channel7","Group2",63420.399387442
"Cell902","Cell902","Batch7","Patient89","Channel7","Group1",35574.6362962439
"Cell903","Cell903","Batch7","Patient86","Channel7","Group4",48780.1927690719
"Cell904","Cell904","Batch7","Patient87","Channel7","Group5",85944.3330663251
"Cell905","Cell905","Batch7","Patient89","Channel7","Group1",55859.9535693847
"Cell906","Cell906","Batch7","Patient92","Channel7","Group3",42056.6242478272
"Cell907","Cell907","Batch7","Patient87","Channel7","Group2",73010.2923181564
"Cell908","Cell908","Batch7","Patient89","Channel7","Group1",48384.3976045624
"Cell909","Cell909","Batch7","Patient96","Channel7","Group5",64121.4330290748
"Cell910","Cell910","Batch7","Patient97","Channel7","Group2",46600.2517192196
"Cell911","Cell911","Batch7","Patient87","Channel7","Group3",135670.007667995
"Cell912","Cell912","Batch7","Patient86","Channel7","Group2",68003.2990458065
"Cell913","Cell913","Batch7","Patient92","Channel7","Group2",80092.9721221577
"Cell914","Cell914","Batch7","Patient92","Channel7","Group3",73577.9104242015
"Cell915","Cell915","Batch7","Patient85","Channel7","Group2",51569.175430801
"Cell916","Cell916","Batch7","Patient93","Channel7","Group5",56129.1733055058
"Cell917","Cell917","Batch7","Patient98","Channel7","Group2",50643.5509770921
"Cell918","Cell918","Batch7","Patient91","Channel7","Group2",50889.540799812
"Cell919","Cell919","Batch7","Patient98","Channel7","Group1",59915.8626997091
"Cell920","Cell920","Batch7","Patient98","Channel7","Group1",82267.3564602765
"Cell921","Cell921","Batch7","Patient93","Channel7","Group2",65758.8975275332
"Cell922","Cell922","Batch7","Patient85","Channel7","Group3",89638.735600879
"Cell923","Cell923","Batch7","Patient86","Channel7","Group2",68679.3331537264
"Cell924","Cell924","Batch7","Patient98","Channel7","Group3",76165.8502170569
"Cell925","Cell925","Batch7","Patient96","Channel7","Group2",55323.9002703791
"Cell926","Cell926","Batch7","Patient91","Channel7","Group3",46642.4681991432
"Cell927","Cell927","Batch7","Patient98","Channel7","Group4",110723.157469662
"Cell928","Cell928","Batch7","Patient97","Channel7","Group5",60580.4526664832
"Cell929","Cell929","Batch7","Patient96","Channel7","Group4",50956.7430809475
"Cell930","Cell930","Batch7","Patient96","Channel7","Group3",86658.0750162497
"Cell931","Cell931","Batch7","Patient89","Channel7","Group3",52992.3710998042
"Cell932","Cell932","Batch7","Patient86","Channel7","Group2",67874.4665036965
"Cell933","Cell933","Batch7","Patient95","Channel7","Group4",47156.1798918494
"Cell934","Cell934","Batch7","Patient94","Channel7","Group5",67345.53128519
"Cell935","Cell935","Batch7","Patient97","Channel7","Group2",83713.8576672357
"Cell936","Cell936","Batch7","Patient88","Channel7","Group1",77825.2539039983
"Cell937","Cell937","Batch7","Patient91","Channel7","Group4",62569.6277876429
"Cell938","Cell938","Batch7","Patient92","Channel7","Group2",79463.6353033759
"Cell939","Cell939","Batch7","Patient98","Channel7","Group4",55573.1008886826
"Cell940","Cell940","Batch7","Patient93","Channel7","Group3",49759.0600527512
"Cell941","Cell941","Batch7","Patient87","Channel7","Group2",61929.6873745288
"Cell942","Cell942","Batch7","Patient92","Channel7","Group3",49830.6120548559
"Cell943","Cell943","Batch7","Patient91","Channel7","Group3",46507.2659841174
"Cell944","Cell944","Batch7","Patient90","Channel7","Group4",68746.1496795482
"Cell945","Cell945","Batch7","Patient98","Channel7","Group4",62631.1486896001
"Cell946","Cell946","Batch7","Patient92","Channel7","Group1",44702.4004532701
"Cell947","Cell947","Batch7","Patient91","Channel7","Group3",74984.6074912686
"Cell948","Cell948","Batch7","Patient87","Channel7","Group4",38706.3637862722
"Cell949","Cell949","Batch7","Patient89","Channel7","Group4",50147.4051677508
"Cell950","Cell950","Batch7","Patient96","Channel7","Group1",59685.9908660649
"Cell951","Cell951","Batch7","Patient98","Channel7","Group1",85006.7780461501
"Cell952","Cell952","Batch7","Patient89","Channel7","Group5",49930.4075156726
"Cell953","Cell953","Batch7","Patient98","Channel7","Group4",60683.5057303456
"Cell954","Cell954","Batch7","Patient88","Channel7","Group5",104192.170383105
"Cell955","Cell955","Batch7","Patient90","Channel7","Group2",78793.3950908391
"Cell956","Cell956","Batch7","Patient96","Channel7","Group3",63963.2650415507
"Cell957","Cell957","Batch7","Patient95","Channel7","Group3",47235.7113538666
"Cell958","Cell958","Batch7","Patient97","Channel7","Group3",67533.4154008073
"Cell959","Cell959","Batch7","Patient96","Channel7","Group1",32589.7406816163
"Cell960","Cell960","Batch7","Patient96","Channel7","Group2",103774.636830284
"Cell961","Cell961","Batch7","Patient96","Channel7","Group3",120979.407341722
"Cell962","Cell962","Batch7","Patient87","Channel7","Group3",61047.3409489129
"Cell963","Cell963","Batch7","Patient97","Channel7","Group1",91113.4323661689
"Cell964","Cell964","Batch7","Patient93","Channel7","Group5",81571.6239211508
"Cell965","Cell965","Batch7","Patient90","Channel7","Group1",74780.3363966357
"Cell966","Cell966","Batch7","Patient91","Channel7","Group1",85195.178997329
"Cell967","Cell967","Batch7","Patient92","Channel7","Group5",101118.001618633
"Cell968","Cell968","Batch7","Patient92","Channel7","Group2",48667.9479885859
"Cell969","Cell969","Batch7","Patient98","Channel7","Group2",55564.274295589
"Cell970","Cell970","Batch7","Patient96","Channel7","Group2",50533.1542091369
"Cell971","Cell971","Batch7","Patient87","Channel7","Group4",60357.4339207321
"Cell972","Cell972","Batch7","Patient96","Channel7","Group3",55665.630371921
"Cell973","Cell973","Batch7","Patient94","Channel7","Group4",44351.399351756
"Cell974","Cell974","Batch7","Patient87","Channel7","Group4",44676.5454626281
"Cell975","Cell975","Batch7","Patient96","Channel7","Group4",73051.343959723
"Cell976","Cell976","Batch7","Patient98","Channel7","Group2",76635.6476610569
"Cell977","Cell977","Batch7","Patient96","Channel7","Group1",60654.7928171029
"Cell978","Cell978","Batch7","Patient86","Channel7","Group4",52265.6838511666
"Cell979","Cell979","Batch7","Patient98","Channel7","Group5",46412.8044334423
"Cell980","Cell980","Batch7","Patient90","Channel7","Group3",43388.6637337274
"Cell981","Cell981","Batch8","Patient108","Channel8","Group2",58307.4001179413
"Cell982","Cell982","Batch8","Patient112","Channel8","Group2",56806.1056788847
"Cell983","Cell983","Batch8","Patient105","Channel8","Group3",73435.6258674378
"Cell984","Cell984","Batch8","Patient104","Channel8","Group1",30088.6087537178
"Cell985","Cell985","Batch8","Patient109","Channel8","Group2",55587.7399538009
"Cell986","Cell986","Batch8","Patient102","Channel8","Group1",77474.377203139
"Cell987","Cell987","Batch8","Patient106","Channel8","Group3",36751.3585484681
"Cell988","Cell988","Batch8","Patient109","Channel8","Group2",86681.8300646973
"Cell989","Cell989","Batch8","Patient99","Channel8","Group5",86093.3515038386
"Cell990","Cell990","Batch8","Patient107","Channel8","Group4",84126.9632742071
"Cell991","Cell991","Batch8","Patient110","Channel8","Group4",39542.4370629392
"Cell992","Cell992","Batch8","Patient100","Channel8","Group5",54827.841739917
"Cell993","Cell993","Batch8","Patient103","Channel8","Group1",54573.3631446611
"Cell994","Cell994","Batch8","Patient102","Channel8","Group1",55490.759052543
"Cell995","Cell995","Batch8","Patient112","Channel8","Group2",96789.4055815841
"Cell996","Cell996","Batch8","Patient105","Channel8","Group4",80979.2437766161
"Cell997","Cell997","Batch8","Patient109","Channel8","Group2",55352.0398944348
"Cell998","Cell998","Batch8","Patient100","Channel8","Group1",69081.9088402423
"Cell999","Cell999","Batch8","Patient112","Channel8","Group4",36320.8901836839
"Cell1000","Cell1000","Batch8","Patient103","Channel8","Group3",32315.5332129897
"Cell1001","Cell1001","Batch8","Patient110","Channel8","Group1",75322.9231246964
"Cell1002","Cell1002","Batch8","Patient106","Channel8","Group3",93172.8488182824
"Cell1003","Cell1003","Batch8","Patient108","Channel8","Group4",52941.8551013306
"Cell1004","Cell1004","Batch8","Patient102","Channel8","Group3",27348.7672218602
"Cell1005","Cell1005","Batch8","Patient106","Channel8","Group3",61921.8863052687
"Cell1006","Cell1006","Batch8","Patient109","Channel8","Group4",66713.3753445121
"Cell1007","Cell1007","Batch8","Patient105","Channel8","Group2",62340.5803987211
"Cell1008","Cell1008","Batch8","Patient108","Channel8","Group2",87493.7992643817
"Cell1009","Cell1009","Batch8","Patient105","Channel8","Group1",62712.427987486
"Cell1010","Cell1010","Batch8","Patient108","Channel8","Group2",72318.176509317
"Cell1011","Cell1011","Batch8","Patient110","Channel8","Group5",65464.8984516632
"Cell1012","Cell1012","Batch8","Patient112","Channel8","Group4",52580.4666620802
"Cell1013","Cell1013","Batch8","Patient111","Channel8","Group2",64011.9753505938
"Cell1014","Cell1014","Batch8","Patient105","Channel8","Group2",67616.5920932431
"Cell1015","Cell1015","Batch8","Patient101","Channel8","Group4",54868.8497782942
"Cell1016","Cell1016","Batch8","Patient110","Channel8","Group5",47101.7217702134
"Cell1017","Cell1017","Batch8","Patient111","Channel8","Group5",38162.3199014137
"Cell1018","Cell1018","Batch8","Patient100","Channel8","Group3",77592.8547458266
"Cell1019","Cell1019","Batch8","Patient109","Channel8","Group3",62572.6951392241
"Cell1020","Cell1020","Batch8","Patient99","Channel8","Group4",96987.1328761253
"Cell1021","Cell1021","Batch8","Patient99","Channel8","Group1",66271.2332057744
"Cell1022","Cell1022","Batch8","Patient109","Channel8","Group5",33003.1740552179
"Cell1023","Cell1023","Batch8","Patient110","Channel8","Group3",39264.0949327135
"Cell1024","Cell1024","Batch8","Patient111","Channel8","Group2",43500.4942628125
"Cell1025","Cell1025","Batch8","Patient105","Channel8","Group2",48598.1350337641
"Cell1026","Cell1026","Batch8","Patient108","Channel8","Group1",105552.354738311
"Cell1027","Cell1027","Batch8","Patient110","Channel8","Group5",107105.186669952
"Cell1028","Cell1028","Batch8","Patient112","Channel8","Group2",78439.2104414792
"Cell1029","Cell1029","Batch8","Patient107","Channel8","Group3",116845.436120979
"Cell1030","Cell1030","Batch8","Patient107","Channel8","Group5",76838.2442313992
"Cell1031","Cell1031","Batch8","Patient105","Channel8","Group1",64538.5541840557
"Cell1032","Cell1032","Batch8","Patient108","Channel8","Group5",84828.4437640747
"Cell1033","Cell1033","Batch8","Patient105","Channel8","Group2",49038.1580490063
"Cell1034","Cell1034","Batch8","Patient104","Channel8","Group1",137121.370131854
"Cell1035","Cell1035","Batch8","Patient102","Channel8","Group4",48366.5783459407
"Cell1036","Cell1036","Batch8","Patient101","Channel8","Group5",30399.6540290946
"Cell1037","Cell1037","Batch8","Patient107","Channel8","Group2",80380.8897147729
"Cell1038","Cell1038","Batch8","Patient101","Channel8","Group4",138177.316201244
"Cell1039","Cell1039","Batch8","Patient100","Channel8","Group2",40838.7479421743
"Cell1040","Cell1040","Batch8","Patient101","Channel8","Group1",41959.2252345143
"Cell1041","Cell1041","Batch8","Patient112","Channel8","Group4",74652.6423965189
"Cell1042","Cell1042","Batch8","Patient99","Channel8","Group3",57118.7498338526
"Cell1043","Cell1043","Batch8","Patient112","Channel8","Group1",71480.6826770536
"Cell1044","Cell1044","Batch8","Patient104","Channel8","Group2",65772.0521818441
"Cell1045","Cell1045","Batch8","Patient110","Channel8","Group1",59901.982455705
"Cell1046","Cell1046","Batch8","Patient104","Channel8","Group2",67433.2744185814
"Cell1047","Cell1047","Batch8","Patient106","Channel8","Group2",37421.5587825323
"Cell1048","Cell1048","Batch8","Patient104","Channel8","Group3",43783.0323183025
"Cell1049","Cell1049","Batch8","Patient104","Channel8","Group4",65486.0975337485
"Cell1050","Cell1050","Batch8","Patient99","Channel8","Group1",50162.3502031524
"Cell1051","Cell1051","Batch8","Patient112","Channel8","Group3",64667.4422424719
"Cell1052","Cell1052","Batch8","Patient106","Channel8","Group2",46469.1933187632
"Cell1053","Cell1053","Batch8","Patient109","Channel8","Group3",46388.2058137934
"Cell1054","Cell1054","Batch8","Patient102","Channel8","Group4",82229.4131732532
"Cell1055","Cell1055","Batch8","Patient107","Channel8","Group3",57315.6088335481
"Cell1056","Cell1056","Batch8","Patient112","Channel8","Group3",52260.2351367786
"Cell1057","Cell1057","Batch8","Patient99","Channel8","Group2",97229.7339741052
"Cell1058","Cell1058","Batch8","Patient101","Channel8","Group3",66971.5043760969
"Cell1059","Cell1059","Batch8","Patient112","Channel8","Group5",48046.7415924731
"Cell1060","Cell1060","Batch8","Patient106","Channel8","Group5",80020.4674153796
"Cell1061","Cell1061","Batch8","Patient112","Channel8","Group5",83524.4492143291
"Cell1062","Cell1062","Batch8","Patient101","Channel8","Group5",98629.9549204976
"Cell1063","Cell1063","Batch8","Patient105","Channel8","Group4",42863.5825526396
"Cell1064","Cell1064","Batch8","Patient99","Channel8","Group1",48225.8657529077
"Cell1065","Cell1065","Batch8","Patient104","Channel8","Group1",87097.2263162146
"Cell1066","Cell1066","Batch8","Patient106","Channel8","Group5",76414.7985465319
"Cell1067","Cell1067","Batch8","Patient110","Channel8","Group4",79574.470331774
"Cell1068","Cell1068","Batch8","Patient107","Channel8","Group3",42737.2376193609
"Cell1069","Cell1069","Batch8","Patient102","Channel8","Group1",61838.9721407615
"Cell1070","Cell1070","Batch8","Patient101","Channel8","Group4",53840.8342379708
"Cell1071","Cell1071","Batch8","Patient111","Channel8","Group3",35203.2509384996
"Cell1072","Cell1072","Batch8","Patient107","Channel8","Group5",66518.6189847155
"Cell1073","Cell1073","Batch8","Patient109","Channel8","Group1",48776.5720536026
"Cell1074","Cell1074","Batch8","Patient110","Channel8","Group1",54678.2882874483
"Cell1075","Cell1075","Batch8","Patient99","Channel8","Group1",117688.816697853
"Cell1076","Cell1076","Batch8","Patient102","Channel8","Group4",47062.6872071251
"Cell1077","Cell1077","Batch8","Patient104","Channel8","Group4",74321.5016620399
"Cell1078","Cell1078","Batch8","Patient107","Channel8","Group2",99728.5168335502
"Cell1079","Cell1079","Batch8","Patient105","Channel8","Group3",42936.9952814823
"Cell1080","Cell1080","Batch8","Patient108","Channel8","Group4",115676.244025707
"Cell1081","Cell1081","Batch8","Patient100","Channel8","Group5",51133.7521756984
"Cell1082","Cell1082","Batch8","Patient111","Channel8","Group5",74959.2926851719
"Cell1083","Cell1083","Batch8","Patient102","Channel8","Group2",72917.4774929921
"Cell1084","Cell1084","Batch8","Patient99","Channel8","Group4",70928.7977215116
"Cell1085","Cell1085","Batch8","Patient101","Channel8","Group5",78451.8854332994
"Cell1086","Cell1086","Batch8","Patient108","Channel8","Group1",97016.1760795408
"Cell1087","Cell1087","Batch8","Patient103","Channel8","Group2",46660.3481000579
"Cell1088","Cell1088","Batch8","Patient111","Channel8","Group2",77043.8680251697
"Cell1089","Cell1089","Batch8","Patient106","Channel8","Group4",68967.5944191934
"Cell1090","Cell1090","Batch8","Patient107","Channel8","Group2",43725.2276920134
"Cell1091","Cell1091","Batch8","Patient104","Channel8","Group4",71264.8832707616
"Cell1092","Cell1092","Batch8","Patient111","Channel8","Group4",77515.1961821128
"Cell1093","Cell1093","Batch8","Patient100","Channel8","Group2",91912.129097451
"Cell1094","Cell1094","Batch8","Patient109","Channel8","Group5",47206.1936547252
"Cell1095","Cell1095","Batch8","Patient110","Channel8","Group1",81616.223140153
"Cell1096","Cell1096","Batch8","Patient104","Channel8","Group3",69564.1558087653
"Cell1097","Cell1097","Batch8","Patient103","Channel8","Group1",45662.5107707053
"Cell1098","Cell1098","Batch8","Patient101","Channel8","Group4",47781.6627652597
"Cell1099","Cell1099","Batch8","Patient105","Channel8","Group3",52835.6885361975
